Дата,T
2018-01-04,-18.5
2018-01-05,-21.5
2018-01-06,-19.0
2018-01-07,-20.6
2018-01-08,-17.6
2018-01-09,-6.3
2018-01-10,-2.0
2018-01-11,-8.0
2018-01-12,-11.9
2018-01-13,-22.0
2018-01-14,-25.5
2018-01-15,-23.7
2018-01-16,-18.9
2018-01-17,-16.3
2018-01-18,-15.4
2018-01-19,-19.3
2018-01-20,-17.8
2018-01-21,-20.0
2018-01-22,-32.6
2018-01-23,-32.4
2018-01-24,-29.4
2018-01-25,-31.9
2018-01-26,-30.1
2018-01-27,-28.6
2018-01-28,-25.8
2018-01-29,-22.0
2018-01-30,-24.3
2018-01-31,-15.2
2018-02-01,-16.0
2018-02-02,-16.3
2018-02-03,-11.1
2018-02-04,-8.6
2018-02-05,-13.2
2018-02-06,-14.2
2018-02-07,-13.3
2018-02-08,-11.9
2018-02-09,-11.6
2018-02-10,-11.0
2018-02-11,-13.7
2018-02-12,-14.4
2018-02-13,-12.7
2018-02-14,-13.5
2018-02-15,-16.1
2018-02-16,-16.8
2018-02-17,-13.8
2018-02-18,-12.6
2018-02-19,-15.8
2018-02-20,-14.0
2018-02-21,-5.9
2018-02-22,-8.7
2018-02-23,-11.1
2018-02-24,-11.6
2018-02-25,-11.6
2018-02-26,-7.6
2018-02-27,-7.5
2018-02-28,-5.1
2018-03-01,-14.5
2018-03-02,-18.8
2018-03-03,-17.1
2018-03-04,-13.0
2018-03-05,-8.4
2018-03-06,-0.4
2018-03-07,-10.3
2018-03-08,-14.0
2018-03-09,-9.0
2018-03-10,-9.4
2018-03-11,-10.3
2018-03-12,-13.0
2018-03-13,-10.6
2018-03-14,-5.0
2018-03-15,-8.3
2018-03-16,-12.3
2018-03-17,-10.3
2018-03-18,-2.7
2018-03-19,-1.9
2018-03-20,-8.9
2018-03-21,1.1
2018-03-22,3.6
2018-03-23,1.5
2018-03-24,-3.9
2018-03-25,-2.0
2018-03-26,-2.7
2018-03-27,-3.1
2018-03-28,-3.5
2018-03-29,0.2
2018-03-30,-4.5
2018-03-31,-10.5
2018-04-01,-8.0
2018-04-02,-6.4
2018-04-03,-4.5
2018-04-04,-2.0
2018-04-05,2.6
2018-04-06,4.3
2018-04-07,2.3
2018-04-08,3.1
2018-04-09,3.1
2018-04-10,1.8
2018-04-11,4.3
2018-04-12,8.2
2018-04-13,6.5
2018-04-14,0.9
2018-04-15,2.1
2018-04-16,5.6
2018-04-17,4.2
2018-04-18,2.7
2018-04-19,1.3
2018-04-20,6.5
2018-04-21,11.6
2018-04-22,11.9
2018-04-23,11.4
2018-04-24,9.7
2018-04-25,5.4
2018-04-26,4.4
2018-04-27,6.2
2018-04-28,8.1
2018-04-29,12.3
2018-04-30,11.4
2018-05-01,7.1
2018-05-02,5.9
2018-05-03,6.8
2018-05-04,14.6
2018-05-05,5.9
2018-05-06,1.6
2018-05-07,5.5
2018-05-08,9.5
2018-05-09,6.7
2018-05-10,9.4
2018-05-11,10.4
2018-05-12,9.0
2018-05-13,5.8
2018-05-14,8.0
2018-05-15,7.9
2018-05-16,10.7
2018-05-17,5.6
2018-05-18,9.3
2018-05-19,5.9
2018-05-20,12.2
2018-05-21,19.0
2018-05-22,15.2
2018-05-23,8.4
2018-05-24,10.8
2018-05-25,19.6
2018-05-26,21.4
2018-05-27,4.1
2018-05-28,10.6
2018-05-29,12.7
2018-05-30,8.8
2018-05-31,12.7
2018-06-01,18.4
2018-06-02,16.3
2018-06-03,9.9
2018-06-04,14.1
2018-06-05,19.6
2018-06-06,21.9
2018-06-07,21.5
2018-06-08,20.1
2018-06-09,14.8
2018-06-10,14.9
2018-06-11,17.6
2018-06-12,17.7
2018-06-13,14.2
2018-06-14,16.0
2018-06-15,20.7
2018-06-16,17.4
2018-06-17,16.7
2018-06-18,16.9
2018-06-19,17.2
2018-06-20,19.0
2018-06-21,22.8
2018-06-22,20.6
2018-06-23,19.0
2018-06-24,19.4
2018-06-25,17.4
2018-06-26,16.8
2018-06-27,16.3
2018-06-28,17.3
2018-06-29,19.3
2018-06-30,20.7
2018-07-01,20.4
2018-07-02,21.6
2018-07-03,20.5
2018-07-04,17.5
2018-07-05,19.9
2018-07-06,23.2
2018-07-07,24.8
2018-07-08,23.3
2018-07-09,25.1
2018-07-10,21.9
2018-07-11,21.8
2018-07-12,21.1
2018-07-13,21.6
2018-07-14,21.9
2018-07-15,21.1
2018-07-16,21.8
2018-07-17,21.1
2018-07-18,22.1
2018-07-19,23.4
2018-07-20,24.6
2018-07-21,23.0
2018-07-22,14.4
2018-07-23,11.9
2018-07-24,12.3
2018-07-25,18.4
2018-07-26,19.0
2018-07-27,21.5
2018-07-28,19.3
2018-07-29,21.1
2018-07-30,21.5
2018-07-31,16.8
2018-08-01,14.9
2018-08-02,18.6
2018-08-03,19.7
2018-08-04,21.6
2018-08-05,21.2
2018-08-06,21.4
2018-08-07,20.9
2018-08-08,22.5
2018-08-09,26.0
2018-08-10,22.8
2018-08-11,17.1
2018-08-12,14.9
2018-08-13,16.8
2018-08-14,20.5
2018-08-15,21.7
2018-08-16,18.1
2018-08-17,19.1
2018-08-18,20.9
2018-08-19,21.3
2018-08-20,16.9
2018-08-21,11.0
2018-08-22,16.1
2018-08-23,19.1
2018-08-24,17.3
2018-08-25,11.1
2018-08-26,12.0
2018-08-27,11.5
2018-08-28,13.4
2018-08-29,13.0
2018-08-30,13.7
2018-08-31,11.6
